time,wheel_1,wheel_2,wheel_3,wheel_4
1738598154.5158968,0.0,-0.0,0.007212218768939901,-0.0
1738598154.6164987,0.0,-0.0,0.005513335418489818,-0.0
1738598154.7163982,0.0,-0.0,0.00891109429821958,-0.0
1738598154.8163803,0.0,-0.0,0.007212218768939901,-0.0
1738598154.9161747,0.0,-0.0,0.007212218768939901,-0.0
1738598155.0165691,0.0,-0.0,0.00891109429821958,-0.0
1738598155.1157596,0.0,-0.0,0.007318727467499994,-0.0
1738598155.2161164,0.0,-0.0,0.00891109429821958,-0.0
1738598155.3164034,0.0,-0.0,0.007212218768939901,-0.0
1738598155.4159894,0.0,-0.0,0.00891109429821958,-0.0
1738598155.5162282,0.0,-0.0,0.007212218768939901,-0.0
1738598155.6161172,0.0,-0.0,0.007318727467499994,-0.0
1738598155.7162988,0.0,-0.0005216689374709033,0.00891109429821958,-0.0
1738598155.8165205,0.0,-0.0,0.005619468700870524,-0.0
1738598155.9158773,0.0,-0.0,0.00891109429821958,-0.0
1738598156.0163856,0.0,-0.0,0.007212218768939901,-0.0
1738598156.1162035,0.0,-0.0,0.007318727467499994,-0.0
1738598156.2161193,0.0,-0.0,0.00891109429821958,-0.0
1738598156.3162458,0.0,-0.0,0.007318727467499994,-0.0
1738598156.4161117,0.0,-0.0,0.00891109429821958,-0.0
1738598156.5160012,0.0,-0.0,0.007212218768939901,-0.0
1738598156.61568,0.0,-0.0,0.005513335418489818,-0.0
1738598156.7158284,0.0,-0.0,0.00891109429821958,-0.0
1738598156.8160121,0.0,-0.0,0.007318727467499994,-0.0
1738598156.9159818,0.0,-0.0,0.00891109429821958,-0.0
1738598157.0163546,0.0,-0.0,0.00891109429821958,-0.0
1738598157.1159678,0.0,-0.0,0.007318727467499994,-0.0
1738598157.2159643,0.0,-0.0,0.007212218768939901,-0.0
1738598157.3156946,0.0,-0.0,0.007318727467499994,-0.0
1738598157.4159281,0.0,-0.0,0.00891109429821958,-0.0
